MType;MType2;h(kpc);re(kpc);Blg/T;M/Lbu;M/Ld;Mblg(Msun);Mdisk(Msun)
pseudo-bulge;unbarred    ; 3.873; 1.329; 0.074;1.6e+00;7.4e-01;3.3e+09;1.9e+10
pseudo-bulge;unbarred    ; 4.194; 0.863; 0.082;2.9e+00;4.9e-01;6.3e+09;1.2e+10
classical   ;unbarred    ; 3.740; 1.777; 0.752;1.7e+00;2.7e+00;2.4e+10;1.2e+10
classical   ;unbarred    ; 2.083; 0.650; 0.202;2.3e+00;3.8e-01;5.7e+09;3.9e+09
classical   ;unbarred    ; 3.658; 2.358; 0.630;2.1e+00;1.7e+00;5.0e+10;2.4e+10
classical   ;unbarred    ; 1.522; 0.661; 0.186;5.1e+00;4.4e-01;1.9e+10;7.3e+09
classical   ;unbarred    ; 2.398; 1.741; 0.628;1.1e+00;2.8e+00;1.4e+10;2.1e+10
elliptical  ;unbarred    ;      ; 3.265; 1.000;1.7e+00;       ;6.9e+10;
elliptical  ;unbarred    ;      ; 2.662; 1.000;1.8e+00;       ;2.9e+10;
elliptical  ;unbarred    ;      ; 1.922; 1.000;1.5e+00;       ;1.6e+10;
elliptical  ;unbarred    ;      ; 1.354; 1.000;1.7e+00;       ;2.2e+10;
classical   ;unbarred    ; 2.158; 0.799; 0.446;1.0e+00;1.0e+00;7.9e+09;9.5e+09
classical   ;unbarred    ; 1.630; 0.805; 0.348;7.0e+00;9.8e-01;2.8e+10;7.3e+09
barred      ;pseudo-bulge; 2.118; 0.487; 0.098;4.1e+00;1.0e+00;4.7e+09;1.0e+10
barred      ;classical   ; 4.047; 1.193; 0.259;2.9e+00;1.4e+00;2.4e+10;2.9e+10
pseudo-bulge;unbarred    ; 3.350; 0.503; 0.037;2.0e+00;5.4e-01;7.4e+08;5.1e+09
classical   ;unbarred    ; 2.787; 2.570; 0.757;1.7e+00;2.2e+00;5.9e+10;2.6e+10
