MType;MType2;h(kpc);re(kpc);Blg/T;M/Lbu;M/Ld;Mblg(Msun);Mdisk(Msun)
elliptical  ;unbarred    ;      ; 3.520; 1.000;2.1e+00;       ;5.1e+10;
elliptical  ;unbarred    ;      ; 4.733; 1.000;1.8e+00;       ;1.1e+11;
barred      ;classical   ; 3.514; 0.639; 0.059;2.3e+00;1.1e+00;5.3e+09;3.9e+10
classical   ;unbarred    ; 3.854; 1.956; 0.643;3.9e+00;1.5e+00;1.2e+11;2.6e+10
elliptical  ;unbarred    ;      ; 3.383; 1.000;2.2e+00;       ;7.8e+10;
elliptical  ;unbarred    ;      ; 4.985; 1.000;1.9e+00;       ;1.3e+11;
elliptical  ;unbarred    ;      ; 2.955; 1.000;1.4e+00;       ;3.1e+10;
elliptical  ;unbarred    ;      ; 2.679; 1.000;1.8e+00;       ;3.5e+10;
elliptical  ;unbarred    ;      ; 2.946; 1.000;1.6e+00;       ;6.0e+10;
pseudo-bulge;unbarred    ; 2.627; 0.624; 0.056;3.0e-01;8.5e-01;4.6e+08;2.2e+10
barred      ;pseudo-bulge; 2.250; 0.528; 0.083;2.8e-01;7.5e-01;3.7e+08;1.0e+10
barred      ;classical   ; 2.617; 0.843; 0.348;7.1e-01;1.3e+00;3.3e+09;9.4e+09
barred      ;classical   ; 1.431; 0.357; 0.223;8.8e-01;1.4e+00;1.5e+09;7.3e+09
elliptical  ;unbarred    ;      ; 3.183; 1.000;1.8e+00;       ;4.2e+10;
elliptical  ;unbarred    ;      ; 2.772; 1.000;1.8e+00;       ;6.7e+10;
elliptical  ;unbarred    ;      ; 2.058; 1.000;1.8e+00;       ;3.3e+10;
barred      ;classical   ; 2.776; 1.142; 0.320;1.3e+00;2.8e+00;1.3e+10;4.9e+10
elliptical  ;unbarred    ;      ; 3.522; 1.000;1.7e+00;       ;5.2e+10;
classical   ;unbarred    ; 2.062; 1.155; 0.354;1.1e+01;8.1e-01;6.6e+10;8.6e+09
elliptical  ;unbarred    ;      ; 5.043; 1.000;2.7e+00;       ;1.3e+11;
pseudo-bulge;unbarred    ; 3.633; 0.413; 0.029;1.6e+00;1.1e+00;6.5e+08;1.4e+10
barred      ;pseudo-bulge; 3.538; 0.803; 0.017;1.5e+01;8.1e-01;6.3e+09;1.8e+10
barred      ;classical   ; 2.345; 0.829; 0.193;1.4e+00;8.9e-01;4.5e+09;1.1e+10
pseudo-bulge;unbarred    ; 2.779; 0.621; 0.077;6.2e+00;9.6e-01;5.5e+09;1.0e+10
barred      ;classical   ; 4.358; 1.080; 0.237;1.5e+00;8.1e-01;1.4e+10;2.4e+10
classical   ;unbarred    ; 2.997; 1.114; 0.478;1.8e+00;1.8e+00;3.2e+10;3.3e+10
barred      ;classical   ; 3.782; 0.804; 0.328;1.4e+00;2.4e+00;1.2e+10;3.4e+10
barred      ;pseudo-bulge; 3.913; 0.458; 0.023;2.0e+01;7.0e-01;1.8e+10;2.4e+10
barred      ;classical   ; 4.189; 1.007; 0.441;2.6e+00;2.6e+00;3.8e+10;3.7e+10
pseudo-bulge;unbarred    ; 5.410; 0.998; 0.088;1.8e+00;1.2e+00;3.0e+09;2.0e+10
barred      ;pseudo-bulge; 4.687; 0.674; 0.073;1.2e+00;8.5e-01;2.8e+09;2.2e+10
barred      ;classical   ; 3.507; 1.201; 0.530;2.6e+00;3.2e+00;4.0e+10;3.6e+10
barred      ;classical   ; 5.353; 1.694; 0.522;1.9e+00;1.2e+00;4.2e+10;1.9e+10
barred      ;classical   ; 4.379; 0.715; 0.079;2.3e+00;1.5e+00;7.7e+09;5.5e+10
barred      ;classical   ; 3.776; 0.789; 0.117;2.7e+00;7.2e-01;8.0e+09;1.2e+10
classical   ;unbarred    ; 2.572; 1.131; 0.558;1.7e+00;2.8e+00;1.8e+10;2.2e+10
barred      ;pseudo-bulge; 3.898; 0.932; 0.092;1.8e+00;1.2e+00;4.7e+09;3.0e+10
barred      ;classical   ; 2.530; 0.766; 0.161;5.7e-01;1.5e+00;1.7e+09;1.8e+10
elliptical  ;unbarred    ;      ; 2.945; 1.000;1.8e+00;       ;4.1e+10;
classical   ;unbarred    ; 1.798; 1.197; 0.441;1.7e+00;1.9e+00;1.2e+10;1.7e+10
classical   ;unbarred    ; 2.967; 1.317; 0.572;3.6e+00;5.9e-01;6.6e+10;8.2e+09
elliptical  ;unbarred    ;      ; 3.496; 1.000;2.4e+00;       ;7.7e+10;
elliptical  ;unbarred    ;      ; 4.496; 1.000;2.7e+00;       ;1.6e+11;
classical   ;unbarred    ; 2.744; 0.703; 0.237;1.6e+00;1.2e+00;7.7e+09;1.8e+10
pseudo-bulge;unbarred    ; 4.235; 0.575; 0.029;1.1e+01;6.4e-01;6.7e+09;1.3e+10
barred      ;pseudo-bulge; 5.288; 0.665; 0.068;2.5e+00;7.7e-01;5.9e+09;2.3e+10
classical   ;unbarred    ; 3.016; 0.985; 0.543;1.5e+00;3.6e+00;1.9e+10;3.8e+10
classical   ;unbarred    ; 6.607; 2.311; 0.434;1.7e+00;1.5e+00;4.9e+10;5.9e+10
pseudo-bulge;unbarred    ; 3.293; 1.105; 0.183;7.6e-01;4.5e-01;1.5e+09;4.0e+09
elliptical  ;unbarred    ;      ; 3.640; 1.000;1.7e+00;       ;1.1e+11;
classical   ;unbarred    ; 2.145; 0.802; 0.382;1.9e+00;7.1e-01;6.8e+09;4.1e+09
barred      ;classical   ; 3.401; 1.057; 0.461;2.5e+00;2.4e+00;2.9e+10;2.9e+10
barred      ;classical   ; 4.678; 0.730; 0.108;3.5e+00;1.1e+00;1.0e+10;2.4e+10
classical   ;unbarred    ; 2.243; 0.707; 0.128;1.1e+00;1.1e+00;5.0e+09;3.6e+10
classical   ;unbarred    ; 2.105; 0.792; 0.557;1.5e+00;1.7e+00;1.4e+10;1.3e+10
barred      ;pseudo-bulge; 2.502; 0.541; 0.050;6.0e-01;1.7e+00;2.3e+08;1.0e+10
classical   ;unbarred    ; 2.172; 1.268; 0.481;1.3e+00;2.7e+00;1.3e+10;2.9e+10
barred      ;classical   ; 2.789; 0.952; 0.413;5.1e+00;1.3e+00;6.4e+10;2.0e+10
barred      ;classical   ; 2.955; 0.793; 0.227;1.1e+00;1.3e+00;5.6e+09;1.9e+10
barred      ;classical   ; 1.731; 0.718; 0.371;1.2e+00;1.5e+00;7.4e+09;1.3e+10
barred      ;classical   ; 4.014; 1.019; 0.270;1.4e+00;8.8e-01;1.6e+10;2.3e+10
elliptical  ;unbarred    ;      ; 2.301; 1.000;1.7e+00;       ;4.4e+10;
barred      ;pseudo-bulge; 3.683; 0.423; 0.039;5.7e-01;7.6e-01;3.9e+08;1.2e+10
pseudo-bulge;unbarred    ; 1.542; 0.782; 0.181;2.1e+00;7.2e-01;5.0e+09;7.6e+09
classical   ;unbarred    ; 4.175; 1.288; 0.572;1.1e+00;3.1e+00;2.0e+10;4.3e+10
classical   ;unbarred    ; 2.501; 1.036; 0.346;9.9e-01;6.5e-01;8.1e+09;1.0e+10
barred      ;classical   ; 3.289; 1.082; 0.335;1.2e+00;1.9e+00;1.6e+10;4.6e+10
classical   ;unbarred    ; 1.276; 0.953; 0.791;4.0e-01;1.7e+00;8.1e+09;9.1e+09
classical   ;unbarred    ; 1.705; 0.984; 0.493;1.0e+00;2.0e+00;8.9e+09;1.8e+10
elliptical  ;unbarred    ;      ; 2.679; 1.000;1.9e+00;       ;4.3e+10;
elliptical  ;unbarred    ;      ; 1.545; 1.000;2.0e+00;       ;2.1e+10;
barred      ;classical   ; 2.836; 0.840; 0.148;1.3e+00;6.8e-01;4.3e+09;1.0e+10
pseudo-bulge;unbarred    ; 2.601; 0.524; 0.048;1.1e+00;6.4e-01;5.4e+08;6.3e+09
elliptical  ;unbarred    ;      ; 2.486; 1.000;1.5e+00;       ;1.7e+10;
barred      ;pseudo-bulge; 4.172; 0.518; 0.033;2.3e+00;9.1e-01;2.5e+09;2.9e+10
barred      ;classical   ; 3.677; 0.918; 0.350;1.5e+00;1.1e+00;1.2e+10;1.5e+10
barred      ;classical   ; 5.072; 1.096; 0.326;3.4e+00;8.8e-01;3.8e+10;1.5e+10
classical   ;unbarred    ; 2.354; 0.871; 0.411;1.6e+00;1.9e+00;1.3e+10;2.3e+10
classical   ;unbarred    ; 2.052; 0.977; 0.434;3.7e+00;1.6e+00;3.3e+10;1.8e+10
classical   ;unbarred    ; 1.370; 0.539; 0.353;1.9e+00;1.0e+00;4.8e+09;4.7e+09
elliptical  ;unbarred    ;      ; 1.789; 1.000;1.9e+00;       ;3.5e+10;
pseudo-bulge;unbarred    ; 5.205; 0.980; 0.072;2.7e+00;1.2e+00;8.5e+09;5.1e+10
barred      ;classical   ; 1.871; 0.674; 0.443;2.1e+00;2.5e+00;7.4e+09;8.7e+09
pseudo-bulge;unbarred    ; 3.623; 1.766; 0.321;1.7e+00;1.1e+00;1.1e+10;1.5e+10
barred      ;pseudo-bulge; 6.040; 0.639; 0.050;2.0e+00;1.2e+00;4.3e+09;4.7e+10
pseudo-bulge;unbarred    ; 2.799; 0.786; 0.096;1.5e+00;8.2e-01;3.6e+09;1.9e+10
elliptical  ;unbarred    ;      ; 3.155; 1.000;1.3e+00;       ;2.0e+10;
classical   ;unbarred    ; 3.728; 1.163; 0.280;1.7e+00;1.0e+00;1.8e+10;2.9e+10
classical   ;unbarred    ; 1.904; 0.863; 0.393;6.3e-01;1.9e+00;4.1e+09;1.9e+10
classical   ;unbarred    ; 5.736; 0.949; 0.132;1.8e+00;1.7e+00;1.1e+10;6.7e+10
classical   ;unbarred    ; 3.655; 1.361; 0.493;2.8e+00;8.4e-01;2.5e+10;8.0e+09
barred      ;classical   ; 2.578; 1.270; 0.468;1.3e+00;2.4e+00;1.3e+10;2.0e+10
barred      ;pseudo-bulge; 3.261; 0.575; 0.060;3.5e+00;9.0e-01;4.8e+09;1.9e+10
classical   ;unbarred    ; 3.158; 1.619; 0.508;2.1e+00;1.9e+00;4.9e+10;4.5e+10
barred      ;classical   ; 2.689; 0.949; 0.312;1.8e+00;1.8e+00;1.1e+10;1.9e+10
classical   ;unbarred    ; 2.918; 1.148; 0.613;2.2e+00;1.8e+00;4.0e+10;2.1e+10
classical   ;unbarred    ; 2.413; 1.423; 0.487;1.3e+00;2.4e+00;1.4e+10;2.6e+10
barred      ;classical   ; 2.158; 0.846; 0.382;4.0e+00;1.8e+00;2.8e+10;1.7e+10
classical   ;unbarred    ; 3.136; 1.334; 0.556;2.3e+00;1.7e+00;4.8e+10;2.8e+10
classical   ;unbarred    ; 1.656; 0.709; 0.488;3.5e+00;1.8e+00;1.4e+10;7.5e+09
barred      ;classical   ; 3.202; 0.976; 0.228;2.6e+00;1.8e+00;2.5e+10;5.1e+10
elliptical  ;unbarred    ;      ; 4.873; 1.000;2.5e+00;       ;1.4e+11;
elliptical  ;unbarred    ;      ; 2.754; 1.000;1.6e+00;       ;7.0e+10;
classical   ;unbarred    ; 2.476; 0.822; 0.202;1.9e+00;7.8e-01;6.9e+09;1.1e+10
elliptical  ;unbarred    ;      ; 1.074; 1.000;1.6e+00;       ;1.4e+10;
classical   ;unbarred    ; 3.431; 1.216; 0.554;2.9e+00;2.0e+00;8.9e+10;4.9e+10
barred      ;classical   ; 1.998; 0.606; 0.182;1.1e+00;1.2e+00;3.5e+09;1.4e+10
bulgeless   ;unbarred    ; 0.943;      ; 0.000;       ;1.1e+00;       ;1.3e+10
elliptical  ;unbarred    ;      ; 1.323; 1.000;1.5e+00;       ;1.1e+10;
pseudo-bulge;unbarred    ; 2.366; 0.431; 0.020;4.9e+00;6.5e-01;1.3e+09;8.6e+09
classical   ;unbarred    ; 2.066; 1.180; 0.422;8.2e-01;6.2e-01;7.4e+09;7.7e+09
elliptical  ;unbarred    ;      ; 1.605; 1.000;1.7e+00;       ;2.5e+10;
classical   ;unbarred    ; 2.602; 0.867; 0.431;1.6e+00;1.5e+00;1.6e+10;1.9e+10
barred      ;pseudo-bulge; 3.419; 0.404; 0.036;9.7e-01;9.3e-01;8.4e+08;2.1e+10
elliptical  ;unbarred    ;      ; 1.826; 1.000;1.6e+00;       ;2.9e+10;
classical   ;unbarred    ; 4.578; 1.073; 0.257;2.7e+00;1.1e+00;3.1e+10;3.9e+10
barred      ;pseudo-bulge; 3.675; 0.675; 0.052;1.6e+00;1.3e+00;2.8e+09;3.9e+10
pseudo-bulge;unbarred    ; 1.824; 0.804; 0.160;8.9e-01;6.5e-01;2.6e+09;1.0e+10
barred      ;classical   ; 3.232; 1.211; 0.329;2.0e+00;1.7e+00;2.4e+10;3.8e+10
barred      ;classical   ; 2.376; 0.640; 0.359;1.2e+00;1.6e+00;5.4e+09;1.3e+10
barred      ;classical   ; 3.843; 0.910; 0.146;1.8e+00;9.0e-01;7.8e+09;1.9e+10
elliptical  ;unbarred    ;      ; 2.165; 1.000;1.6e+00;       ;3.3e+10;
barred      ;pseudo-bulge; 5.186; 0.978; 0.110;1.2e+00;8.2e-01;4.5e+09;2.1e+10
elliptical  ;unbarred    ;      ; 3.120; 1.000;1.9e+00;       ;4.9e+10;
barred      ;classical   ; 1.361; 0.403; 0.151;6.7e-01;1.3e+00;9.1e+08;6.8e+09
classical   ;unbarred    ; 1.617; 0.655; 0.297;1.4e+00;9.1e-01;3.9e+09;6.2e+09
classical   ;unbarred    ; 2.453; 0.926; 0.358;1.0e+00;9.0e-01;9.2e+09;1.5e+10
barred      ;classical   ; 3.987; 0.681; 0.091;3.2e+00;9.5e-01;1.3e+10;3.5e+10
classical   ;unbarred    ; 1.416; 1.249; 0.804;1.0e+00;1.9e+00;1.9e+10;8.6e+09
classical   ;unbarred    ; 1.221; 0.816; 0.505;1.5e+00;1.2e+00;5.9e+09;4.6e+09
classical   ;unbarred    ; 1.887; 0.843; 0.473;1.3e+00;2.2e+00;1.3e+10;2.5e+10
classical   ;unbarred    ; 3.063; 1.545; 0.525;1.7e+00;1.9e+00;2.8e+10;2.8e+10
pseudo-bulge;unbarred    ; 3.055; 0.567; 0.053;9.4e-01;5.8e-01;9.4e+08;1.0e+10
classical   ;unbarred    ; 2.499; 0.797; 0.359;2.3e+00;2.3e+00;1.6e+10;3.0e+10
pseudo-bulge;unbarred    ; 3.566; 1.547; 0.251;2.6e+00;1.1e+00;1.6e+10;1.9e+10
classical   ;unbarred    ; 1.975; 1.122; 0.560;1.8e+00;1.4e+00;2.3e+10;1.4e+10
classical   ;unbarred    ; 2.900; 1.310; 0.313;1.2e+00;6.8e-01;1.9e+10;2.4e+10
barred      ;classical   ; 2.306; 0.867; 0.391;2.5e+00;1.5e+00;2.0e+10;1.7e+10
elliptical  ;unbarred    ;      ; 1.675; 1.000;1.6e+00;       ;2.5e+10;
classical   ;unbarred    ; 2.877; 2.051; 0.410;2.4e+00;1.5e+00;3.6e+10;3.3e+10
elliptical  ;unbarred    ;      ; 2.003; 1.000;1.5e+00;       ;2.2e+10;
elliptical  ;unbarred    ;      ; 1.169; 1.000;1.3e+00;       ;8.6e+09;
pseudo-bulge;unbarred    ; 3.191; 0.540; 0.047;9.2e-01;5.5e-01;6.3e+08;7.7e+09
barred      ;classical   ; 2.733; 0.794; 0.378;3.9e+00;1.3e+00;3.2e+10;1.5e+10
classical   ;unbarred    ; 3.700; 1.132; 0.263;1.5e+00;2.3e+00;1.7e+10;7.4e+10
pseudo-bulge;unbarred    ; 2.041; 0.535; 0.118;1.2e+00;1.4e+00;1.0e+09;8.4e+09
elliptical  ;unbarred    ;      ; 2.544; 1.000;1.7e+00;       ;9.3e+10;
barred      ;classical   ; 4.951; 0.848; 0.083;1.5e+00;7.2e-01;8.8e+09;4.3e+10
classical   ;unbarred    ; 1.113; 0.705; 0.684;1.7e+00;9.6e-01;9.8e+09;2.5e+09
classical   ;unbarred    ; 1.983; 1.111; 0.649;2.6e+00;8.6e-01;3.6e+10;6.3e+09
pseudo-bulge;unbarred    ; 2.335; 0.632; 0.094;1.4e+00;6.0e-01;2.2e+09;9.2e+09
elliptical  ;unbarred    ;      ; 2.389; 1.000;1.5e+00;       ;3.2e+10;
classical   ;unbarred    ; 3.201; 1.572; 0.638;2.0e+00;2.0e+00;2.7e+10;1.6e+10
pseudo-bulge;unbarred    ; 3.202; 0.393; 0.046;3.8e-01;5.6e-01;3.6e+08;1.1e+10
pseudo-bulge;unbarred    ; 1.825; 0.274; 0.043;2.5e+00;9.5e-01;9.1e+08;7.7e+09
classical   ;unbarred    ; 1.068; 0.478; 0.445;2.4e+00;1.2e+00;7.2e+09;4.5e+09
elliptical  ;unbarred    ;      ; 1.099; 1.000;1.5e+00;       ;1.2e+10;
pseudo-bulge;unbarred    ; 1.600; 0.666; 0.134;1.6e+00;6.7e-01;2.9e+09;8.1e+09
classical   ;unbarred    ; 2.075; 1.470; 0.534;2.3e+00;1.5e+00;2.9e+10;1.7e+10
classical   ;unbarred    ; 3.052; 1.130; 0.419;1.8e+00;1.6e+00;1.9e+10;2.2e+10
elliptical  ;unbarred    ;      ; 3.296; 1.000;1.8e+00;       ;8.5e+10;
elliptical  ;unbarred    ;      ; 1.614; 1.000;1.5e+00;       ;1.9e+10;
elliptical  ;unbarred    ;      ; 4.319; 1.000;2.3e+00;       ;1.7e+11;
barred      ;classical   ; 2.301; 0.503; 0.281;2.1e+00;1.7e+00;8.0e+09;1.4e+10
barred      ;classical   ; 1.833; 0.539; 0.133;1.4e+00;1.2e+00;2.8e+09;1.3e+10
barred      ;pseudo-bulge; 2.665; 0.325; 0.024;6.4e-01;8.1e-01;2.0e+08;1.0e+10
classical   ;unbarred    ; 2.079; 0.856; 0.470;1.3e+00;2.0e+00;9.6e+09;1.7e+10
barred      ;pseudo-bulge; 3.000; 0.471; 0.034;3.0e+00;7.0e-01;1.6e+09;1.0e+10
barred      ;pseudo-bulge; 2.146; 0.424; 0.051;6.0e+00;9.4e-01;3.4e+09;9.5e+09
pseudo-bulge;unbarred    ; 2.638; 0.519; 0.052;3.5e-01;6.2e-01;3.5e+08;1.2e+10
elliptical  ;unbarred    ;      ; 2.120; 1.000;1.9e+00;       ;3.4e+10;
elliptical  ;unbarred    ;      ; 2.602; 1.000;1.6e+00;       ;5.5e+10;
elliptical  ;unbarred    ;      ; 3.790; 1.000;1.9e+00;       ;5.4e+10;
classical   ;unbarred    ; 3.179; 1.798; 0.654;1.9e+00;2.2e+00;7.0e+10;4.2e+10
classical   ;unbarred    ; 2.112; 1.592; 0.701;1.6e+00;1.7e+00;1.7e+10;7.7e+09
classical   ;unbarred    ; 2.443; 1.696; 0.773;2.4e+00;1.2e+00;4.5e+10;6.8e+09
barred      ;classical   ; 4.149; 0.643; 0.073;3.5e+00;8.8e-01;1.2e+10;3.5e+10
barred      ;classical   ; 2.664; 0.806; 0.375;1.1e+00;1.8e+00;5.7e+09;1.3e+10
classical   ;unbarred    ; 3.722; 1.671; 0.529;1.7e+00;2.9e+00;3.7e+10;5.7e+10
classical   ;unbarred    ; 3.112; 1.178; 0.243;2.2e+00;1.5e+00;1.3e+10;2.8e+10
classical   ;unbarred    ; 2.889; 1.084; 0.524;3.5e+00;1.2e+00;7.3e+10;2.2e+10
classical   ;unbarred    ; 3.110; 0.790; 0.185;1.4e+00;1.1e+00;6.5e+09;2.3e+10
classical   ;unbarred    ; 1.998; 0.986; 0.507;1.6e+00;2.3e+00;1.4e+10;1.9e+10
barred      ;classical   ; 3.329; 0.777; 0.217;3.3e+00;9.5e-01;2.3e+10;2.1e+10
classical   ;unbarred    ; 4.017; 1.299; 0.499;1.9e+00;1.5e+00;4.2e+10;3.3e+10
classical   ;unbarred    ; 2.297; 1.059; 0.440;2.7e+00;8.3e-01;3.5e+10;1.4e+10
barred      ;pseudo-bulge; 2.011; 0.388; 0.087;2.7e+00;1.1e+00;2.4e+09;9.5e+09
pseudo-bulge;unbarred    ; 3.680; 0.716; 0.052;1.7e+00;5.2e-01;1.5e+09;8.1e+09
classical   ;unbarred    ; 1.455; 0.721; 0.555;2.6e+00;1.3e+00;1.4e+10;5.8e+09
barred      ;classical   ; 2.055; 0.549; 0.197;7.9e-01;1.8e+00;1.5e+09;1.1e+10
pseudo-bulge;unbarred    ; 3.978; 0.839; 0.085;3.9e+00;1.0e+00;9.7e+09;2.7e+10
classical   ;unbarred    ; 2.252; 1.134; 0.662;2.0e+00;1.9e+00;3.4e+10;1.6e+10
bulgeless   ;unbarred    ; 2.029;      ; 0.000;       ;4.6e-01;       ;3.1e+09
pseudo-bulge;unbarred    ; 2.685; 0.557; 0.052;6.2e-01;8.7e-01;4.2e+08;1.1e+10
elliptical  ;unbarred    ;      ; 2.194; 1.000;1.6e+00;       ;3.1e+10;
barred      ;pseudo-bulge; 2.897; 0.561; 0.071;1.4e+00;7.2e-01;1.4e+09;8.5e+09
classical   ;unbarred    ; 3.437; 1.925; 0.504;3.0e+00;1.4e+00;6.6e+10;3.1e+10
classical   ;unbarred    ; 3.205; 0.752; 0.202;2.1e+00;1.3e+00;7.7e+09;1.8e+10
barred      ;classical   ; 2.526; 1.294; 0.630;1.4e+00;2.5e+00;2.2e+10;2.0e+10
classical   ;unbarred    ; 3.440; 0.770; 0.081;1.5e+00;6.9e-01;5.0e+09;2.6e+10
pseudo-bulge;unbarred    ; 3.742; 0.629; 0.044;9.9e-01;4.9e-01;7.2e+08;7.7e+09
classical   ;unbarred    ; 3.233; 1.185; 0.479;2.2e+00;2.0e+00;2.5e+10;2.6e+10
pseudo-bulge;unbarred    ; 2.764; 0.763; 0.089;1.3e+00;7.5e-01;2.0e+09;1.2e+10
classical   ;unbarred    ; 1.243; 0.800; 0.512;8.6e-01;1.7e+00;4.5e+09;8.6e+09
elliptical  ;unbarred    ;      ; 2.964; 1.000;1.9e+00;       ;7.4e+10;
elliptical  ;unbarred    ;      ; 2.047; 1.000;1.3e+00;       ;1.4e+10;
classical   ;unbarred    ; 1.244; 0.769; 0.635;2.1e+00;8.9e-01;1.5e+10;3.6e+09
barred      ;classical   ; 4.130; 1.097; 0.154;1.2e+00;6.1e-01;9.9e+09;2.7e+10
barred      ;classical   ; 2.980; 0.627; 0.220;1.6e+00;8.1e-01;8.2e+09;1.2e+10
elliptical  ;unbarred    ;      ; 2.193; 1.000;2.1e+00;       ;2.8e+10;
barred      ;bulgeless   ; 3.319;      ; 0.000;       ;8.7e-01;       ;2.1e+10
classical   ;unbarred    ; 2.403; 0.818; 0.435;1.9e+00;1.6e+00;1.9e+10;2.0e+10
classical   ;unbarred    ; 2.704; 1.113; 0.458;2.1e+00;2.5e+00;2.9e+10;4.0e+10
barred      ;classical   ; 2.592; 0.837; 0.386;1.7e+00;5.1e-01;1.1e+10;4.5e+09
classical   ;unbarred    ; 3.033; 1.499; 0.567;2.4e+00;1.6e+00;5.3e+10;2.7e+10
barred      ;classical   ; 1.525; 0.590; 0.545;1.1e+00;1.7e+00;6.2e+09;7.1e+09
elliptical  ;unbarred    ;      ; 2.719; 1.000;2.0e+00;       ;6.3e+10;
classical   ;unbarred    ; 2.159; 1.145; 0.541;1.9e+00;1.6e+00;2.5e+10;1.8e+10
barred      ;classical   ; 2.086; 0.645; 0.338;1.6e+00;2.3e+00;7.6e+09;1.7e+10
classical   ;unbarred    ; 1.934; 0.987; 0.573;9.4e-01;2.7e+00;7.3e+09;1.6e+10
classical   ;unbarred    ; 3.371; 0.883; 0.162;1.3e+00;7.5e-01;6.2e+09;1.9e+10
barred      ;pseudo-bulge; 2.309; 0.535; 0.124;1.3e+00;1.3e+00;1.8e+09;1.2e+10
barred      ;bulgeless   ; 2.507;      ; 0.000;       ;7.5e-01;       ;8.2e+09
barred      ;classical   ; 2.132; 0.606; 0.142;2.3e+00;1.1e+00;4.9e+09;1.3e+10
barred      ;pseudo-bulge; 1.991; 0.484; 0.109;1.2e+00;1.6e+00;1.3e+09;1.2e+10
pseudo-bulge;unbarred    ; 4.316; 0.416; 0.023;6.4e+00;6.3e-01;2.0e+09;8.0e+09
elliptical  ;unbarred    ;      ; 2.191; 1.000;1.5e+00;       ;1.8e+10;
bulgeless   ;unbarred    ; 3.910;      ; 0.000;       ;8.3e-01;       ;1.7e+10
pseudo-bulge;unbarred    ; 3.049; 0.404; 0.045;1.9e+00;5.2e-01;1.2e+09;7.3e+09
elliptical  ;unbarred    ;      ; 4.055; 1.000;2.1e+00;       ;1.3e+11;
elliptical  ;unbarred    ;      ; 2.800; 1.000;1.9e+00;       ;6.9e+10;
classical   ;unbarred    ; 2.696; 1.363; 0.612;1.8e+00;2.4e+00;2.9e+10;2.3e+10
classical   ;unbarred    ; 2.398; 1.099; 0.518;2.2e+00;1.8e+00;4.0e+10;2.9e+10
barred      ;classical   ; 1.234; 0.581; 0.479;1.3e+00;2.0e+00;5.8e+09;7.6e+09
elliptical  ;unbarred    ;      ; 2.789; 1.000;2.1e+00;       ;5.8e+10;
barred      ;classical   ; 3.310; 1.106; 0.332;2.4e+00;1.4e+00;2.9e+10;3.0e+10
barred      ;pseudo-bulge; 2.525; 0.559; 0.113;2.0e+00;9.0e-01;3.0e+09;9.6e+09
elliptical  ;unbarred    ;      ; 4.015; 1.000;2.1e+00;       ;1.2e+11;
classical   ;unbarred    ; 1.927; 0.652; 0.420;2.3e+00;1.6e+00;7.7e+09;7.3e+09
classical   ;unbarred    ; 2.419; 1.373; 0.497;1.6e+00;1.0e+00;1.9e+10;1.2e+10
classical   ;unbarred    ; 2.099; 0.901; 0.355;5.6e+00;5.2e-01;5.7e+10;9.7e+09
elliptical  ;unbarred    ;      ; 3.286; 1.000;1.8e+00;       ;1.1e+11;
elliptical  ;unbarred    ;      ; 2.221; 1.000;1.5e+00;       ;2.0e+10;
pseudo-bulge;unbarred    ; 2.095; 0.493; 0.110;1.2e+00;7.7e-01;1.6e+09;8.6e+09
classical   ;unbarred    ; 1.673; 0.778; 0.510;1.0e+00;2.0e+00;6.8e+09;1.3e+10
classical   ;unbarred    ; 2.546; 1.443; 0.620;2.0e+00;3.4e+00;3.7e+10;3.9e+10
elliptical  ;unbarred    ;      ; 1.885; 1.000;1.4e+00;       ;1.6e+10;
pseudo-bulge;unbarred    ; 2.504; 0.431; 0.058;1.1e+00;1.1e+00;5.9e+08;9.6e+09
barred      ;classical   ; 1.460; 0.571; 0.344;2.3e+00;1.3e+00;6.5e+09;6.1e+09
barred      ;classical   ; 5.105; 0.599; 0.092;9.3e-01;9.1e-01;2.2e+09;2.0e+10
elliptical  ;unbarred    ;      ; 3.069; 1.000;1.8e+00;       ;6.1e+10;
barred      ;pseudo-bulge; 1.949; 0.233; 0.029;9.8e-01;6.9e-01;3.1e+08;7.3e+09
barred      ;classical   ; 3.619; 0.971; 0.208;2.4e+00;1.7e+00;1.9e+10;4.4e+10
elliptical  ;unbarred    ;      ; 2.207; 1.000;1.6e+00;       ;2.2e+10;
classical   ;unbarred    ; 3.965; 1.336; 0.458;1.7e+00;1.2e+00;3.2e+10;2.7e+10
classical   ;unbarred    ; 1.995; 0.687; 0.382;1.1e+00;2.5e+00;1.2e+10;4.4e+10
barred      ;classical   ; 3.133; 0.760; 0.191;1.4e+00;1.4e+00;6.4e+09;2.3e+10
classical   ;unbarred    ; 2.624; 1.554; 0.596;1.6e+00;1.8e+00;4.3e+10;3.3e+10
classical   ;unbarred    ; 2.220; 0.897; 0.424;2.0e+00;1.9e+00;2.0e+10;2.6e+10
classical   ;unbarred    ; 2.376; 1.276; 0.474;2.4e+00;1.3e+00;4.3e+10;2.5e+10
classical   ;unbarred    ; 3.095; 1.182; 0.511;2.0e+00;1.9e+00;5.8e+10;5.2e+10
elliptical  ;unbarred    ;      ; 3.630; 1.000;2.1e+00;       ;8.1e+10;
elliptical  ;unbarred    ;      ; 2.942; 1.000;1.6e+00;       ;4.8e+10;
