h(kpc) re(kpc) B/T   Mb(Msun) Md(Msun)
2.565  0.672  0.123 5.3e+10 1.7e+10
2.303  0.858  0.512 1.4e+10 8.8e+09
1.938  0.327  0.018 3.9e+08 7.2e+09
0      1.337  1.000 2.0e+10 0
2.122  0.707  0.619 2.2e+10 5.0e+09
1.480  0.691  0.298 1.9e+09 7.9e+09
0      1.617  1.000 2.1e+10 0
2.309  0.883  0.794 2.9e+10 9.9e+08
0      2.913  1.000 7.4e+10 0
3.448  1.883  0.729 4.8e+10 1.3e+10
0      3.525  1.000 2.1e+11 0
2.440  2.174  0.491 2.2e+10 2.6e+10
3.614  0.901  0.138 3.8e+09 2.1e+10
0      3.405  1.000 4.4e+10 0
0      3.194  1.000 1.6e+11 0
0      3.818  1.000 1.1e+11 0
4.017  1.245  0.483 2.7e+10 2.2e+10
2.058  1.234  0.511 1.2e+10 5.4e+10
3.571  0.461  0.036 1.2e+09 2.0e+10
1.988  0.888  0.387 3.6e+09 5.9e+09
6.043  1.051  0.218 3.9e+10 6.8e+10
0      2.272  1.000 6.7e+10 0
1.123  0.242  0.401 1.2e+09 4.3e+08
3.024  0.595  0.065 4.6e+08 6.3e+09
0      1.827  1.000 1.9e+10 0
2.948  0.699  0.366 3.4e+10 2.7e+10
3.577  0.585  0.043 2.7e+09 4.2e+10
0      3.305  1.000 1.0e+11 0
0      1.468  1.000 2.3e+10 0
3.378  1.413  0.189 1.3e+10 2.0e+10
0      2.509  1.000 4.3e+10 0
5.199  1.528  0.212 1.8e+10 2.4e+10
2.238  0.720  0.430 2.5e+10 2.9e+10
2.661  0.390  0.107 7.5e+08 7.2e+09
3.117  0.521  0.059 1.1e+09 9.8e+09
0      3.624  1.000 7.5e+10 0
0      2.450  1.000 4.9e+10 0
6.039  2.095  0.428 2.3e+10 2.6e+10
3.523  1.041  0.286 1.8e+10 7.3e+09
4.957  3.077  0.707 7.9e+10 5.9e+10
5.281  1.252  0.399 4.8e+10 9.6e+09
0      4.078  1.000 2.1e+11 0
2.863  1.177  0.397 1.6e+10 6.5e+09
0      4.838  1.000 1.5e+11 0
3.722  0.808  0.109 2.1e+09 1.1e+10
1.919  1.099  0.286 2.1e+09 7.6e+09
2.451  1.449  0.544 3.1e+10 2.7e+10
2.403  2.226  0.646 1.4e+10 2.9e+10
3.030  0.952  0.081 3.1e+09 9.4e+09
3.645  1.792  0.452 3.4e+10 3.9e+10
0      2.728  1.000 7.3e+10 0
0      4.759  1.000 1.7e+11 0
0      2.105  1.000 3.3e+10 0
2.910  1.341  0.424 4.3e+10 5.0e+10
0      3.194  1.000 7.9e+10 0
2.252  0.725  0.222 5.9e+09 2.1e+10
3.097  0.540  0.047 9.2e+08 5.6e+09
0      4.341  1.000 1.8e+11 0
5.955  0.748  0.000 3.6e+09 1.3e+10
3.395  0.782  0.069 1.4e+09 8.5e+09
1.874  0.905  0.276 7.7e+09 1.3e+10
1.969  0.863  0.237 4.6e+09 1.9e+10
0      2.394  1.000 3.1e+10 0
3.145  1.167  0.357 1.9e+10 9.1e+09
6.043  0.598  0.175 1.2e+10 3.5e+10
5.177  0.616  0.057 4.0e+09 2.7e+10
0      2.409  1.000 8.6e+10 0
0      3.492  1.000 8.7e+10 0
0      2.242  1.000 1.5e+10 0
5.026  0.548  0.081 5.2e+09 2.9e+10
