h(kpc) re(kpc) B/T   Mb(Msun) Md(Msun)
0      2.054  1.000 3.0e+10 0
2.376  1.514  0.425 2.5e+10 2.7e+10
2.357  0.573  0.146 5.0e+09 2.8e+10
3.293  1.149  0.567 1.8e+10 9.3e+09
0      2.257  1.000 2.6e+10 0
2.381  0.616  0.525 1.2e+10 1.6e+10
1.833  0.769  0.079 1.0e+09 8.4e+09
2.154  0.865  0.373 1.2e+10 2.0e+10
3.929  1.351  0.346 3.7e+10 6.4e+10
0      1.989  1.000 3.1e+10 0
0      2.257  1.000 1.3e+10 0
3.057  0.727  0.065 2.0e+09 1.5e+10
4.553  0.846  0.178 1.0e+10 4.2e+10
1.632  0.506  0.178 4.3e+09 1.8e+10
1.822  0.413  0.287 8.0e+09 1.1e+10
2.618  0.404  0.082 1.7e+09 1.3e+10
1.862  1.442  0.675 1.2e+10 9.3e+09
3.170  0.728  0.088 3.4e+09 2.2e+10
3.968  1.412  0.736 5.0e+10 1.1e+10
5.561  0.813  0.053 1.3e+10 5.2e+10
1.696  1.292  0.700 2.7e+10 8.1e+09
0      2.389  1.000 3.9e+10 0
0      2.266  1.000 1.8e+10 0
3.026  1.201  0.355 1.6e+10 2.1e+10
0      3.215  1.000 5.6e+10 0
4.545  0.921  0.096 4.6e+09 3.8e+10
1.790  0.980  0.522 1.3e+10 9.2e+09
0      3.415  1.000 8.1e+10 0
2.105  1.162  0.544 2.3e+10 1.1e+10
0      2.825  1.000 4.6e+10 0
0      3.123  1.000 5.9e+10 0
3.396  1.495  0.359 4.8e+10 5.9e+10
0      4.167  1.000 8.3e+10 0
3.477  0.731  0.172 5.4e+09 2.7e+10
0      3.070  1.000 3.5e+10 0
2.999  0.921  0.194 1.4e+10 3.3e+10
3.735  0.657  0.087 2.9e+09 1.8e+10
0      3.148  1.000 4.7e+10 0
0      3.938  1.000 1.1e+11 0
0      4.177  1.000 1.0e+11 0
0      3.207  1.000 4.1e+10 0
3.360  0.757  0.265 1.2e+10 2.6e+10
0      2.654  1.000 4.8e+10 0
0      3.414  1.000 5.9e+10 0
0      3.461  1.000 6.0e+10 0
2.744  0.905  0.100 5.9e+09 1.3e+10
2.978  1.218  0.227 7.3e+09 3.5e+10
4.073  0.722  0.118 1.2e+10 3.2e+10
2.329  1.267  0.503 2.0e+10 2.2e+10
1.341  0      0.000 0       4.6e+09
0      3.458  1.000 6.0e+10 0
2.569  0.821  0.045 7.7e+08 9.3e+09
2.566  0.949  0.267 2.7e+10 2.7e+10
3.352  1.027  0.215 2.4e+10 6.5e+10
5.848  0.865  0.161 1.5e+10 5.1e+10
2.838  1.869  0.613 5.2e+10 2.5e+10
3.074  1.292  0.367 4.0e+10 3.1e+10
2.247  1.141  0.446 1.8e+10 3.6e+10
0      3.790  1.000 1.2e+11 0
1.672  0.736  0.634 2.4e+10 3.5e+09
1.390  1.010  0.311 5.1e+09 8.9e+09
2.468  0.939  0.290 1.4e+10 1.2e+10
2.607  1.241  0.613 1.9e+10 3.4e+10
0      2.800  1.000 4.2e+10 0
3.381  0.894  0.303 3.8e+10 2.2e+10
0      2.628  1.000 3.5e+10 0
0      2.950  1.000 4.6e+10 0
4.482  0.662  0.387 8.5e+09 6.7e+09
3.267  0.405  0.034 1.5e+09 2.0e+10
2.323  0.713  0.227 1.6e+10 1.8e+10
2.778  0.799  0.475 2.5e+10 2.3e+10
2.237  0.630  0.215 8.5e+09 2.0e+10
2.366  0.710  0.057 2.0e+09 1.1e+10
1.431  0.527  0.353 5.7e+09 7.6e+09
0      4.127  1.000 1.1e+11 0
2.094  0.507  0.210 6.2e+09 1.5e+10
3.366  0.880  0.086 1.1e+10 3.9e+10
1.785  0.927  0.362 3.6e+10 3.1e+10
2.606  0.547  0.084 2.0e+09 1.4e+10
0      4.225  1.000 5.2e+10 0
0      3.263  1.000 7.4e+10 0
2.515  0.520  0.138 7.5e+09 2.0e+10
0      3.784  1.000 6.9e+10 0
2.821  0.668  0.165 8.8e+09 3.5e+10
2.552  0.994  0.415 2.2e+10 1.3e+10
0      2.333  1.000 1.1e+10 0
3.614  0.693  0.098 7.1e+09 2.3e+10
2.602  1.061  0.320 2.1e+10 4.2e+10
2.382  1.030  0.437 2.2e+10 3.1e+10
2.488  0.835  0.391 1.1e+10 1.8e+10
3.021  0.715  0.172 1.5e+10 2.8e+10
0      4.120  1.000 2.0e+11 0
3.856  0.906  0.422 3.4e+10 1.9e+10
1.757  0.719  0.230 6.5e+09 2.2e+10
2.804  0.323  0.026 2.4e+08 9.5e+09
4.161  0.929  0.082 4.4e+09 1.8e+10
3.918  1.271  0.276 4.1e+10 3.6e+10
3.675  0.388  0.024 5.5e+08 1.1e+10
1.514  0      0.000 0       5.2e+09
5.979  1.315  0.239 2.7e+10 8.1e+10
0      3.467  1.000 8.6e+10 0
2.641  0.569  0.093 4.9e+09 1.1e+10
3.154  1.004  0.320 7.6e+09 1.3e+10
3.013  1.588  0.466 3.2e+10 3.4e+10
6.343  0.781  0.100 1.4e+10 6.0e+10
3.754  1.283  0.382 2.5e+10 2.7e+10
3.066  0.671  0.094 2.3e+09 1.8e+10
0      2.480  1.000 5.8e+10 0
3.410  0.838  0.212 2.1e+10 2.5e+10
0      4.842  1.000 1.4e+11 0
3.049  0.598  0.082 2.1e+09 6.7e+09
0      3.039  1.000 5.9e+10 0
2.186  0.970  0.647 2.6e+10 7.7e+09
1.468  0.260  0.051 2.1e+08 5.3e+09
2.562  0.548  0.189 5.7e+09 1.1e+10
2.099  0.735  0.204 5.9e+09 1.6e+10
3.974  0.647  0.149 5.9e+09 2.4e+10
3.914  0.927  0.101 6.6e+09 3.2e+10
0      4.237  1.000 8.5e+10 0
3.080  1.325  0.636 6.2e+10 1.2e+10
1.795  0.551  0.131 8.7e+08 1.5e+10
0      3.412  1.000 4.2e+10 0
2.904  0.536  0.057 2.8e+09 2.4e+10
0      5.376  1.000 1.1e+11 0
3.607  0.429  0.027 2.1e+09 1.6e+10
0      3.831  1.000 8.5e+10 0
2.130  1.266  0.667 1.8e+10 1.2e+10
0      2.931  1.000 3.7e+10 0
2.387  0.845  0.329 5.4e+09 1.7e+10
3.608  1.214  0.182 9.3e+09 3.2e+10
0      5.500  1.000 1.9e+11 0
4.384  0.980  0.111 3.8e+09 1.4e+10
3.520  1.561  0.507 5.0e+10 3.3e+10
0      3.874  1.000 7.0e+10 0
2.267  0.482  0.084 1.6e+09 1.0e+10
2.828  0.537  0.240 7.9e+09 5.4e+09
3.630  0.461  0.051 4.5e+09 1.9e+10
0      3.221  1.000 2.3e+10 0
2.315  0.843  0.450 1.2e+10 1.3e+10
0      3.250  1.000 4.2e+10 0
0      3.690  1.000 5.1e+10 0
1.775  0.431  0.080 4.4e+09 8.2e+09
2.296  0      0.000 0       1.2e+10
5.467  0.549  0.030 8.3e+08 1.9e+10
2.425  0.738  0.276 7.3e+09 1.9e+10
2.342  0.896  0.360 1.5e+10 1.3e+10
0      4.203  1.000 5.5e+10 0
1.955  0.757  0.325 1.2e+10 1.3e+10
3.939  0      0.000 0       8.7e+09
0      4.027  1.000 6.5e+10 0
0      3.853  1.000 8.3e+10 0
0      4.943  1.000 9.6e+10 0
0      4.946  1.000 1.3e+11 0
1.985  1.138  0.395 3.0e+09 6.8e+09
1.095  0      0.000 0       9.1e+09
2.325  1.218  0.566 1.8e+10 2.0e+10
6.294  0.905  0.210 1.1e+10 3.8e+10
1.432  0.852  0.423 3.7e+09 6.5e+09
0      3.141  1.000 5.4e+10 0
0.754  0.426  0.563 5.0e+09 8.8e+09
3.808  0.838  0.232 2.0e+10 1.5e+10
2.944  0.565  0.066 5.3e+08 4.6e+09
0      2.749  1.000 4.1e+10 0
2.677  0.408  0.093 1.4e+09 1.7e+10
2.064  0.732  0.409 1.8e+10 1.5e+10
1.530  0.681  0.436 1.4e+10 6.8e+09
2.045  0.400  0.151 1.5e+09 8.1e+09
0      2.126  1.000 1.4e+10 0
2.658  0.572  0.072 5.3e+09 9.4e+09
2.937  0.442  0.045 5.6e+08 9.8e+09
0.915  0.600  0.579 7.1e+09 6.9e+09
0      2.207  1.000 1.8e+10 0
0      2.962  1.000 4.2e+10 0
5.179  1.825  0.414 1.0e+11 9.6e+10
5.221  1.429  0.195 7.3e+10 1.4e+11
0      7.334  1.000 1.7e+11 0
0      4.581  1.000 1.2e+11 0
0      3.008  1.000 4.7e+10 0
2.136  1.093  0.433 1.3e+10 2.2e+10
0      2.797  1.000 2.7e+10 0
3.245  0.800  0.157 4.3e+09 1.9e+10
3.522  1.709  0.563 4.7e+10 2.1e+10
1.910  0.756  0.418 8.6e+09 1.5e+10
1.505  0.540  0.377 8.9e+09 8.2e+09
3.133  1.023  0.121 8.2e+09 1.9e+10
4.056  0.773  0.122 7.1e+09 1.8e+10
3.676  0.390  0.028 5.7e+08 8.5e+09
2.014  0.600  0.068 1.5e+09 1.3e+10
2.370  1.123  0.468 2.5e+10 1.6e+10
2.486  0.426  0.081 1.7e+09 1.5e+10
3.536  0.864  0.115 1.0e+10 2.0e+10
0      2.085  1.000 1.6e+10 0
0      2.053  1.000 3.0e+10 0
0      4.065  1.000 7.6e+10 0
0      2.719  1.000 2.9e+10 0
2.838  0.706  0.261 6.3e+09 1.0e+10
1.631  0      0.000 0       1.5e+10
0      3.236  1.000 3.9e+10 0
4.068  0.485  0.018 1.7e+08 9.2e+09
0      2.136  1.000 2.2e+10 0
2.591  0.994  0.616 2.6e+10 1.5e+10
1.830  0.855  0.515 1.5e+10 1.8e+10
1.517  0.949  0.277 1.8e+09 8.8e+09
1.620  1.010  0.395 1.7e+10 1.2e+10
4.447  0.792  0.150 1.2e+10 3.3e+10
2.981  1.382  0.569 3.5e+10 2.0e+10
2.861  0.621  0.240 5.1e+09 1.0e+10
0      1.904  1.000 2.1e+10 0
2.770  1.557  0.580 4.7e+10 1.7e+10
3.602  0.668  0.051 6.4e+09 2.1e+10
4.995  0.664  0.143 5.2e+09 2.6e+10
2.174  1.195  0.363 2.6e+10 3.3e+10
0      3.316  1.000 6.7e+10 0
0      2.749  1.000 3.8e+10 0
2.995  0.507  0.058 8.2e+08 9.8e+09
2.703  0.705  0.314 1.2e+10 1.8e+10
2.130  0.688  0.138 6.8e+08 7.9e+09
3.056  0.784  0.135 9.0e+09 1.4e+10
4.573  1.070  0.272 1.5e+10 2.0e+10
2.326  1.023  0.458 3.6e+10 1.7e+10
0      4.711  1.000 8.7e+10 0
2.521  0.580  0.091 8.3e+08 1.3e+10
1.463  0.778  0.081 1.2e-07 8.4e+09
5.039  0.931  0.129 1.6e+10 5.0e+10
0      2.609  1.000 3.0e+10 0
0      2.503  1.000 1.2e+10 0
1.655  0.489  0.158 7.8e+08 4.5e+09
3.434  0.643  0.079 1.0e+09 1.0e+10
3.096  0.557  0.155 5.0e+09 1.6e+10
2.266  1.449  0.707 3.1e+10 1.3e+10
2.765  0.427  0.050 8.2e+08 5.3e+09
2.394  0.612  0.255 2.2e+09 1.0e+10
0      4.142  1.000 4.8e+10 0
1.530  0.464  0.143 3.4e+09 2.3e+10
4.241  1.137  0.142 2.1e+10 2.6e+10
0      3.705  1.000 3.8e+10 0
3.371  1.226  0.431 1.5e+10 2.3e+10
0      6.568  1.000 1.3e+11 0
3.079  1.201  0.249 8.8e+09 3.1e+10
5.322  1.133  0.355 2.4e+10 3.2e+10
3.712  0.701  0.223 6.5e+09 1.7e+10
4.189  0.997  0.190 1.2e+10 2.9e+10
2.657  1.969  0.472 2.6e+10 2.2e+10
0      2.979  1.000 2.3e+10 0
0      3.192  1.000 3.5e+10 0
2.819  0      0.000 0       1.2e+10
1.437  0.554  0.205 2.8e+09 8.2e+09
4.629  0.762  0.113 6.8e+09 2.5e+10
0      3.059  1.000 3.1e+10 0
2.731  1.223  0.383 1.5e+10 3.0e+10
2.222  0      0.000 0       1.2e+10
5.528  0.845  0.064 2.5e+09 2.6e+10
2.933  1.298  0.524 3.2e+10 1.2e+10
3.616  1.151  0.154 1.4e+10 4.1e+10
1.716  0.498  0.182 1.5e+09 9.1e+09
2.708  1.142  0.709 1.4e+10 7.5e+09
3.831  0.899  0.101 4.9e+09 2.6e+10
2.751  0      0.000 0       1.5e+10
0      4.546  1.000 1.0e+11 0
0      5.179  1.000 9.3e+10 0
2.740  0.609  0.347 2.7e+09 5.6e+09
3.688  0.832  0.036 2.9e+10 3.0e+10
2.234  1.084  0.503 1.1e+10 1.3e+10
7.817  1.080  0.090 2.0e+10 6.0e+10
3.360  1.123  0.325 1.1e+10 1.4e+10
1.963  1.335  0.166 4.4e+08 8.0e+09
0      3.955  1.000 9.1e+10 0
1.991  0.670  0.184 8.1e+08 7.9e+09
0      4.164  1.000 6.8e+10 0
5.220  1.425  0.387 1.9e+10 1.5e+10
3.199  1.021  0.468 1.4e+10 1.1e+10
1.916  0.439  0.055 1.2e+09 8.4e+09
3.189  0.646  0.131 3.0e+09 1.3e+10
5.049  0.993  0.127 1.3e+10 4.8e+10
0      4.230  1.000 7.0e+10 0
0      4.591  1.000 7.7e+10 0
0      2.799  1.000 4.6e+10 0
0      1.795  1.000 1.5e+10 0
1.652  0.347  0.188 1.5e+09 8.0e+09
3.942  0.594  0.066 3.0e+09 1.7e+10
3.335  0.836  0.406 7.5e+09 1.4e+10
2.138  0.754  0.396 7.1e+09 1.3e+10
1.744  0.871  0.534 1.2e+10 4.2e+09
3.912  0.757  0.042 4.1e+09 5.3e+10
1.942  0.784  0.316 3.3e+09 8.3e+09
0      5.048  1.000 1.2e+11 0
1.969  1.226  0.635 1.9e+10 8.0e+09
5.549  0.996  0.203 3.3e+10 1.6e+10
5.534  0.790  0.070 5.9e+09 3.3e+10
2.745  1.151  0.513 2.8e+10 2.0e+10
2.752  0.630  0.222 9.8e+09 1.7e+10
5.058  1.280  0.387 5.3e+10 5.1e+10
2.501  0.843  0.135 5.3e+09 1.7e+10
0      3.091  1.000 3.9e+10 0
4.377  1.371  0.351 3.5e+10 3.1e+10
2.279  0.927  0.803 2.4e+10 2.4e+09
2.503  1.158  0.324 1.1e+11 3.4e+10
2.419  0.597  0.037 9.6e+09 9.7e+09
2.445  0.575  0.072 1.5e+10 1.5e+10
3.158  1.327  0.394 3.1e+10 2.0e+10
0      5.676  1.000 1.9e+11 0
2.248  0.864  0.302 1.4e+10 1.5e+10
1.096  0.508  0.425 3.4e+09 5.2e+09
0      3.495  1.000 3.2e+10 0
2.031  0.863  0.000 4.2e+09 1.4e+10
2.795  0.517  0.084 1.1e+09 9.6e+09
2.782  0.771  0.106 4.1e+09 1.7e+10
2.378  0.800  0.367 1.4e+10 1.5e+10
1.377  0.625  0.353 3.8e+09 7.0e+09
0      3.777  1.000 6.0e+10 0
0      3.863  1.000 6.9e+10 0
0      4.611  1.000 1.3e+11 0
3.992  0.788  0.097 4.7e+09 3.2e+10
2.951  0.933  0.420 2.4e+10 1.5e+10
0      2.592  1.000 2.5e+10 0
2.584  1.473  0.179 3.3e+09 3.3e+10
3.893  0.813  0.063 3.8e+09 1.6e+10
0      4.436  1.000 7.4e+10 0
6.245  0.779  0.135 2.2e+10 6.7e+10
2.449  1.182  0.692 4.0e+10 1.2e+10
4.230  0.904  0.128 8.1e+09 3.4e+10
4.659  0.869  0.075 4.8e+09 1.2e+10
4.810  2.017  0.378 7.7e+10 9.7e+10
0      3.076  1.000 3.6e+10 0
4.137  1.874  0.565 2.2e+10 9.6e+09
2.950  1.522  0.641 5.8e+10 2.0e+10
3.385  0.633  0.104 2.4e+09 1.2e+10
0      2.375  1.000 2.0e+10 0
0      2.434  1.000 2.1e+10 0
3.158  0.686  0.173 8.3e+09 2.7e+10
2.388  0.847  0.149 3.7e+09 1.8e+10
3.532  1.076  0.252 2.3e+10 3.2e+10
2.685  0.667  0.121 3.0e+09 1.1e+10
6.490  0.872  0.099 7.2e+09 3.3e+10
2.069  0.935  0.419 5.7e+09 5.3e+09
0      3.355  1.000 4.5e+10 0
3.749  1.108  0.159 1.6e+10 2.5e+10
4.239  0.634  0.019 2.9e+08 1.7e+10
3.000  1.275  0.423 1.9e+10 1.8e+10
0      5.429  1.000 1.2e+11 0
0      4.464  1.000 8.4e+10 0
0      4.483  1.000 7.8e+10 0
2.281  1.083  0.292 7.9e+09 1.5e+10
0      3.689  1.000 5.8e+10 0
2.133  1.129  0.480 7.4e+09 1.1e+10
4.721  0.667  0.089 6.8e+09 5.1e+10
2.267  1.477  0.492 1.4e+10 1.1e+10
0      3.649  1.000 6.0e+10 0
3.210  1.904  0.635 2.5e+10 3.9e+10
2.422  0.599  0.157 4.4e+09 2.0e+10
2.602  0.998  0.339 3.7e+10 3.0e+10
3.136  1.255  0.511 2.5e+10 2.3e+10
2.701  0.532  0.131 5.0e+09 1.1e+10
2.982  0.553  0.103 1.1e+09 9.1e+09
0      2.275  1.000 1.7e+10 0
0      2.591  1.000 2.8e+10 0
2.138  0.812  0.497 3.2e+10 4.6e+10
2.765  0.828  0.106 8.2e+10 1.4e+10
0      3.446  1.000 5.4e+10 0
4.557  0.962  0.228 1.9e+10 4.9e+10
3.014  0.762  0.158 2.5e+10 2.7e+10
4.314  1.700  0.553 1.3e+11 3.7e+10
4.308  0.975  0.251 2.1e+10 3.2e+10
3.100  1.222  0.289 1.7e+10 1.2e+10
3.273  0.654  0.056 2.5e+09 1.3e+10
3.583  1.003  0.525 7.9e+09 1.9e+10
0      2.748  1.000 3.9e+10 0
2.574  0.700  0.071 3.5e+09 1.1e+10
3.531  1.270  0.242 2.9e+10 3.0e+10
4.723  0.928  0.064 1.2e+10 2.7e+10
2.966  0.873  0.377 1.5e+10 3.1e+10
1.468  0.526  0.497 8.3e+09 8.2e+09
1.452  0.495  0.195 1.7e+09 8.7e+09
