23029688.087089814, 1.164559372940938
68719555.45081402, 1.4459812541505304
205056068.64926732, 1.7954102091631001
565893968.6742102, 2.189468035510553
1168716868.4205027, 2.5520841838086814
2413388097.019949, 2.948222519521653
5761257847.348755, 3.499293339501131
11380661997.152187, 4.078605244786118
26867463197.17345, 4.840893168007338
56094351595.192055, 5.542502577228086
104785578429.26665, 6.344883466369591
191435237103.96893, 7.263214406241468
378009673326.8596, 8.24113097837651
472564883536.5715, 8.69879060807147
